ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
106,1,0,12,0,-12
107,1,0,8,0,-8
108,1,1,1128,1241,113
109,0,0,35,0,-35
110,1,0,19,0,-19
111,1,0,51,0,-51
112,0,0,10,0,-10
113,1,1,236,1270,1034
114,1,1,936,2499,1563
115,0,0,4,0,-4
116,1,0,5,0,-5
117,1,0,40,0,-40
118,0,0,135,0,-135
119,0,0,210,0,-210
120,0,0,28,0,-28
121,0,0,5,0,-5
122,1,1,15,1522,1507
123,0,0,9,0,-9
124,0,0,79,0,-79
125,1,1,601,1200,599
126,1,1,618,1665,1047
127,1,1,1241,1305,64
128,1,0,59,0,-59
129,1,0,25,0,-25
130,1,0,11,0,-11
131,1,1,714,1376,662
132,0,0,94,0,-94
133,0,0,61,0,-61
134,0,0,1,0,-1
135,0,0,90,0,-90
136,1,0,34,0,-34
137,1,1,114,1852,1738
138,1,0,4,0,-4
139,1,1,450,1795,1345
140,0,0,5,0,-5
141,1,0,24,0,-24
142,1,0,155,0,-155
143,1,0,39,0,-39
144,1,0,96,0,-96
145,1,0,19,0,-19
146,1,0,7,0,-7
147,1,0,66,0,-66
148,1,0,87,0,-87
149,1,1,1808,1284,-524
150,0,0,61,0,-61
151,1,1,1208,1203,-5
152,1,1,48,2396,2348
153,1,1,652,1522,870
154,1,0,4,0,-4
155,0,0,71,0,-71
156,1,0,12,0,-12
157,1,0,0,0,0
158,1,1,85,1859,1774
159,1,0,22,0,-22
160,1,1,2137,1304,-833
161,1,0,103,0,-103
162,1,1,327,3052,2725
163,1,1,187,1841,1654
164,0,0,1,0,-1
165,1,1,1284,2334,1050
166,0,0,65,0,-65
167,0,0,3,0,-3
168,1,0,14,0,-14
169,0,0,41,0,-41
170,1,0,25,0,-25
171,1,1,118,1450,1332
172,0,0,78,0,-78
173,0,0,1,0,-1
174,0,0,19,0,-19
175,0,0,17,0,-17
176,1,0,30,0,-30
177,1,1,74,1743,1669
178,0,0,0,0,0
179,1,1,166,1245,1079
180,1,1,1043,1203,160
181,1,0,31,0,-31
182,0,0,73,0,-73
183,0,0,44,0,-44
184,0,0,27,0,-27
185,0,0,29,0,-29
186,0,0,54,0,-54
187,0,0,29,0,-29
188,1,0,71,0,-71
189,0,0,84,0,-84
190,1,0,32,0,-32
191,0,0,33,0,-33
192,1,1,281,1793,1512
193,1,0,0,0,0
194,1,1,1595,1211,-384
195,0,0,23,0,-23
196,1,1,449,3101,2652
197,1,1,117,1542,1425
198,1,1,1600,1234,-366
199,1,1,913,1523,610
200,0,0,20,0,-20
201,0,0,14,0,-14
202,1,0,117,0,-117
203,1,0,35,0,-35
204,1,1,481,1447,966
205,0,0,43,0,-43
206,1,1,138,1508,1370
207,1,1,1234,1550,316
208,1,0,58,0,-58
209,1,1,489,1384,895
210,1,0,17,0,-17
211,0,0,79,0,-79
212,1,1,995,1449,454
213,1,0,59,0,-59
214,1,1,534,1395,861
215,1,1,395,1523,1128
216,1,1,986,1228,242
217,1,1,235,1965,1730
218,1,1,452,1572,1120
219,0,0,69,0,-69
220,0,0,23,0,-23
221,0,0,19,0,-19
222,0,0,43,0,-43
223,1,0,12,0,-12
224,1,0,29,0,-29
225,1,1,1019,2027,1008
226,1,0,16,0,-16
227,0,0,18,0,-18
228,1,0,2,0,-2
229,1,1,321,1255,934
230,0,0,6,0,-6
231,1,0,75,0,-75
232,1,0,85,0,-85
233,0,0,21,0,-21
234,0,0,34,0,-34
235,0,0,26,0,-26
236,0,0,3,0,-3
237,1,0,2,0,-2
238,0,0,6,0,-6
239,1,0,83,0,-83
240,0,0,19,0,-19
241,1,0,93,0,-93
242,1,0,21,0,-21
243,0,0,6,0,-6
244,1,1,60,1597,1537
245,1,0,44,0,-44
246,1,0,17,0,-17
247,1,0,17,0,-17
248,1,0,0,0,0
249,0,0,62,0,-62
250,0,0,3,0,-3
251,1,1,139,1459,1320
252,1,1,205,1285,1080
253,1,1,9,1502,1493
254,0,0,211,0,-211
255,0,0,59,0,-59
256,1,0,118,0,-118
257,1,0,15,0,-15
258,0,0,49,0,-49
259,0,0,5,0,-5
260,0,0,39,0,-39
261,0,0,10,0,-10
262,1,0,39,0,-39
263,1,1,455,1396,941
264,1,1,564,1528,964
265,0,0,23,0,-23
266,1,0,5,0,-5
267,1,1,410,1539,1129
268,0,0,47,0,-47
269,0,0,175,0,-175
270,1,1,334,1301,967
271,0,0,23,0,-23
272,0,0,44,0,-44
273,0,0,46,0,-46
274,1,0,96,0,-96
275,0,0,0,0,0
276,1,0,25,0,-25
277,0,0,119,0,-119
278,1,0,29,0,-29
279,0,0,21,0,-21
280,0,0,33,0,-33
281,1,0,65,0,-65
282,1,1,47,1670,1623
283,0,0,35,0,-35
284,1,1,972,1853,881
285,0,0,54,0,-54
286,1,0,21,0,-21
287,1,0,45,0,-45
288,1,0,93,0,-93
289,1,0,119,0,-119
290,0,0,29,0,-29
291,0,0,92,0,-92
292,1,0,69,0,-69
293,1,1,460,1302,842
294,1,1,318,1448,1130
295,1,0,71,0,-71
296,0,0,68,0,-68
297,1,0,4,0,-4
298,0,0,101,0,-101
299,1,1,82,1283,1201
300,1,0,21,0,-21
301,0,0,1,0,-1
302,1,1,229,1262,1033
303,0,0,8,0,-8
304,1,1,2181,1522,-659
305,1,0,55,0,-55
306,1,1,2712,1578,-1134
307,1,0,120,0,-120
308,0,0,16,0,-16
309,1,0,126,0,-126
310,0,0,8,0,-8
311,1,0,7,0,-7
312,0,0,32,0,-32
313,1,1,2253,1781,-472
314,0,0,23,0,-23
315,0,0,9,0,-9
316,1,0,190,0,-190
317,0,0,14,0,-14
318,0,0,79,0,-79
319,1,0,41,0,-41
320,1,0,8,0,-8
321,1,1,379,1249,870
322,1,0,24,0,-24
323,0,0,126,0,-126
324,1,1,373,2857,2484
325,0,0,75,0,-75
326,1,1,112,1272,1160
327,1,0,118,0,-118
328,1,1,209,1920,1711
329,1,0,8,0,-8
330,0,0,15,0,-15
331,0,0,39,0,-39
332,1,0,69,0,-69
333,0,0,2,0,-2
334,1,1,200,2931,2731
335,0,0,2,0,-2
336,1,0,1,0,-1
337,1,1,452,1317,865
338,1,0,122,0,-122
339,1,1,115,1408,1293
340,0,0,25,0,-25
341,1,1,354,1426,1072
342,1,0,21,0,-21
343,1,1,848,1318,470
344,1,0,142,0,-142
345,0,0,21,0,-21
346,1,1,587,1286,699
347,1,0,69,0,-69
348,0,0,31,0,-31
349,1,1,334,1383,1049
350,0,0,17,0,-17
351,0,0,71,0,-71
352,0,0,67,0,-67
353,0,0,184,0,-184
354,1,1,399,1315,916
355,1,1,91,1411,1320
356,1,1,809,1576,767
357,1,1,204,1364,1160
358,0,0,110,0,-110
359,1,1,347,1284,937
360,0,0,34,0,-34
361,0,0,19,0,-19
362,0,0,42,0,-42
363,1,1,125,1485,1360
364,1,0,34,0,-34
365,1,1,619,1770,1151
366,1,0,43,0,-43
367,1,0,71,0,-71
368,0,0,28,0,-28
369,1,1,273,1529,1256
370,0,0,5,0,-5
371,0,0,3,0,-3
372,1,1,471,1242,771
373,0,0,167,0,-167
374,0,0,7,0,-7
375,1,0,33,0,-33
376,1,1,49,1473,1424
377,0,0,63,0,-63
378,1,1,149,1848,1699
379,1,1,376,1230,854
380,1,0,0,0,0
381,1,1,625,1352,727
382,0,0,15,0,-15
383,1,1,525,1495,970
384,1,1,43,1264,1221
385,1,0,14,0,-14
386,1,0,74,0,-74
387,1,0,1,0,-1
388,1,1,131,1355,1224
389,1,0,141,0,-141
390,0,0,17,0,-17
391,0,0,33,0,-33
392,1,0,14,0,-14
393,0,0,5,0,-5
394,0,0,35,0,-35
395,1,0,65,0,-65
396,0,0,46,0,-46
397,1,0,26,0,-26
398,1,1,284,1666,1382
399,0,0,59,0,-59
400,1,0,13,0,-13
401,1,1,274,1213,939
402,0,0,5,0,-5
403,1,0,62,0,-62
404,0,0,55,0,-55
405,1,0,39,0,-39
406,0,0,183,0,-183
407,1,0,114,0,-114
408,1,1,1675,1645,-30
409,1,0,23,0,-23
410,0,0,27,0,-27
411,1,1,1091,1326,235
412,1,0,1,0,-1
413,1,1,302,1408,1106
414,1,1,354,1548,1194
415,0,0,142,0,-142
416,0,0,23,0,-23
417,0,0,78,0,-78
418,0,0,19,0,-19
419,0,0,47,0,-47
420,1,0,79,0,-79
421,0,0,103,0,-103
422,1,0,9,0,-9
423,1,1,589,1202,613
424,0,0,50,0,-50
425,0,0,26,0,-26
426,1,0,4,0,-4
427,1,1,491,1216,725
428,1,0,94,0,-94
429,1,0,3,0,-3
430,1,0,59,0,-59
431,1,1,271,1320,1049
432,1,0,131,0,-131
433,1,1,338,1568,1230
434,0,0,107,0,-107
435,1,1,177,2321,2144
436,1,1,834,1316,482
437,1,0,13,0,-13
438,1,1,121,1562,1441
439,1,0,2,0,-2
440,1,0,15,0,-15
441,0,0,17,0,-17
442,1,1,491,1538,1047
443,1,1,289,4555,4266
444,0,0,29,0,-29
445,1,0,32,0,-32
446,1,0,8,0,-8
447,1,1,890,1302,412
448,0,0,1,0,-1
449,1,0,103,0,-103
450,1,0,58,0,-58
451,1,0,10,0,-10
452,1,1,189,1789,1600
453,0,0,89,0,-89
454,1,0,4,0,-4
455,0,0,21,0,-21
456,1,1,1569,2579,1010
457,0,0,146,0,-146
458,0,0,100,0,-100
459,1,0,13,0,-13
460,0,0,31,0,-31
461,1,0,138,0,-138
462,1,1,300,1388,1088
463,0,0,25,0,-25
464,0,0,103,0,-103
465,1,0,87,0,-87
466,1,1,33,1422,1389
467,0,0,21,0,-21
468,0,0,42,0,-42
469,1,0,13,0,-13
470,0,0,52,0,-52
471,1,0,43,0,-43
472,0,0,63,0,-63
473,0,0,123,0,-123
474,1,1,377,1234,857
475,1,0,47,0,-47
476,1,0,38,0,-38
477,1,1,557,1219,662
478,0,0,20,0,-20
479,0,0,19,0,-19
480,1,0,77,0,-77
481,0,0,36,0,-36
482,1,0,11,0,-11
483,1,0,43,0,-43
484,1,1,196,3474,3278
485,0,0,78,0,-78
486,1,0,29,0,-29
487,1,0,18,0,-18
488,1,1,283,2214,1931
489,1,0,14,0,-14
490,1,0,88,0,-88
491,0,0,0,0,0
492,0,0,49,0,-49
493,1,1,309,1591,1282
494,0,0,102,0,-102
495,1,0,121,0,-121
496,1,0,20,0,-20
497,0,0,21,0,-21
498,0,0,187,0,-187
499,0,0,10,0,-10
500,0,0,11,0,-11
501,1,1,33,3054,3021
502,0,0,7,0,-7
503,1,1,265,1253,988
504,0,0,11,0,-11
505,1,1,991,1207,216
506,1,1,356,1250,894
507,0,0,118,0,-118
508,1,1,597,1540,943
509,0,0,79,0,-79
510,1,0,89,0,-89
511,1,1,812,1442,630
512,1,1,134,1756,1622
513,0,0,56,0,-56
514,1,1,95,1212,1117
515,1,1,95,2093,1998
516,1,0,55,0,-55
517,1,0,9,0,-9
518,0,0,82,0,-82
519,0,0,22,0,-22
520,1,0,70,0,-70
521,1,0,47,0,-47
522,0,0,10,0,-10
523,0,0,7,0,-7
524,1,1,365,1271,906
525,0,0,12,0,-12
526,1,1,79,1311,1232
527,1,0,76,0,-76
528,1,1,133,2277,2144
529,1,0,22,0,-22
530,0,0,19,0,-19
531,1,1,368,2304,1936
532,1,1,522,1394,872
533,1,0,28,0,-28
534,0,0,96,0,-96
535,0,0,28,0,-28
536,1,0,52,0,-52
537,0,0,38,0,-38
538,1,1,59,1367,1308
539,0,0,74,0,-74
540,0,0,11,0,-11
541,1,0,16,0,-16
542,1,1,2428,1667,-761
543,1,0,105,0,-105
544,0,0,2,0,-2
545,1,1,658,1614,956
546,1,1,72,1217,1145
547,0,0,4,0,-4
548,0,0,55,0,-55
549,1,1,65,1483,1418
550,0,0,92,0,-92
551,1,0,16,0,-16
552,1,1,773,1326,553
553,0,0,0,0,0
554,0,0,54,0,-54
555,0,0,28,0,-28
556,0,0,49,0,-49
557,1,0,19,0,-19
558,0,0,21,0,-21
559,1,0,9,0,-9
560,1,1,310,1253,943
561,1,0,28,0,-28
562,0,0,42,0,-42
563,1,0,17,0,-17
564,0,0,66,0,-66
565,1,0,24,0,-24
566,0,0,150,0,-150
567,1,1,423,1305,882
568,1,1,117,1519,1402
569,1,1,1129,1231,102
570,1,0,2,0,-2
571,0,0,53,0,-53
572,1,1,1022,1620,598
573,1,1,937,1594,657
574,0,0,37,0,-37
575,1,0,62,0,-62
576,1,1,1154,1706,552
577,0,0,13,0,-13
578,1,1,107,1206,1099
579,0,0,158,0,-158
580,1,0,25,0,-25
581,1,1,988,1474,486
582,1,0,5,0,-5
583,0,0,31,0,-31
584,1,1,59,1324,1265
585,1,0,34,0,-34
586,1,0,18,0,-18
587,1,1,2347,1518,-829
588,0,0,0,0,0
589,1,0,52,0,-52
590,1,0,51,0,-51
591,1,0,11,0,-11
592,1,1,111,2573,2462
593,0,0,73,0,-73
594,0,0,48,0,-48
595,1,1,300,1494,1194
596,1,0,34,0,-34
597,0,0,0,0,0
598,0,0,9,0,-9
599,0,0,18,0,-18
600,1,1,366,1823,1457
601,1,0,96,0,-96
602,0,0,13,0,-13
603,0,0,5,0,-5
604,1,1,127,1578,1451
605,0,0,255,0,-255
606,1,0,187,0,-187
607,0,0,53,0,-53
608,0,0,141,0,-141
609,1,1,31,2094,2063
610,0,0,18,0,-18
611,1,1,54,6467,6413
612,0,0,7,0,-7
613,0,0,11,0,-11
614,1,1,1059,1852,793
615,0,0,18,0,-18
616,0,0,244,0,-244
617,0,0,28,0,-28
618,1,0,0,0,0
619,1,0,24,0,-24
620,1,0,34,0,-34
621,0,0,147,0,-147
622,1,0,62,0,-62
623,1,0,42,0,-42
624,1,1,414,1483,1069
625,0,0,8,0,-8
626,1,0,87,0,-87
627,0,0,6,0,-6
628,1,1,88,1386,1298
629,1,0,76,0,-76
630,1,1,80,2519,2439
631,1,1,930,1640,710
632,1,1,1228,1361,133
633,0,0,56,0,-56
634,1,0,17,0,-17
635,0,0,71,0,-71
636,1,1,529,1721,1192
637,1,1,142,1334,1192
638,1,0,9,0,-9
639,0,0,21,0,-21
640,1,1,1317,1693,376
641,0,0,72,0,-72
642,1,0,11,0,-11
643,1,1,326,1501,1175
644,1,0,9,0,-9
645,1,0,22,0,-22
646,1,1,668,2548,1880
647,1,0,66,0,-66
648,1,1,131,1738,1607
649,0,0,81,0,-81
650,1,0,10,0,-10
651,1,0,59,0,-59
652,1,0,32,0,-32
653,1,1,1500,1332,-168
654,1,0,109,0,-109
655,1,0,44,0,-44
656,1,1,340,1558,1218
657,0,0,100,0,-100
658,1,1,576,1292,716
659,0,0,0,0,0
660,1,0,62,0,-62
661,1,1,140,1228,1088
662,1,0,48,0,-48
663,0,0,15,0,-15
664,0,0,0,0,0
665,0,0,139,0,-139
666,1,1,484,1208,724
667,1,1,153,3630,3477
668,1,1,827,1751,924
669,1,0,47,0,-47
670,1,0,68,0,-68
671,0,0,276,0,-276
672,1,0,21,0,-21
673,0,0,6,0,-6
674,0,0,3,0,-3
675,1,1,289,1483,1194
676,0,0,14,0,-14
677,0,0,17,0,-17
678,1,0,14,0,-14
679,0,0,106,0,-106
680,1,0,7,0,-7
681,1,1,353,1499,1146
682,1,0,6,0,-6
683,0,0,102,0,-102
684,0,0,48,0,-48
685,0,0,64,0,-64
686,0,0,31,0,-31
687,0,0,69,0,-69
688,0,0,20,0,-20
689,1,1,365,1509,1144
690,1,0,28,0,-28
691,0,0,15,0,-15
692,1,1,132,1592,1460
693,1,0,67,0,-67
694,1,1,453,1489,1036
695,1,1,565,1275,710
696,0,0,44,0,-44
697,1,0,23,0,-23
698,0,0,58,0,-58
699,1,0,23,0,-23
700,0,0,52,0,-52
701,0,0,155,0,-155
702,0,0,31,0,-31
703,0,0,5,0,-5
704,0,0,63,0,-63
705,0,0,6,0,-6
706,0,0,7,0,-7
707,0,0,21,0,-21
708,1,0,22,0,-22
709,0,0,35,0,-35
710,0,0,64,0,-64
711,0,0,14,0,-14
712,0,0,87,0,-87
713,1,1,436,1442,1006
714,0,0,30,0,-30
715,0,0,71,0,-71
716,0,0,22,0,-22
717,1,1,432,2293,1861
718,0,0,49,0,-49
719,1,0,68,0,-68
720,1,0,38,0,-38
721,1,0,40,0,-40
722,0,0,60,0,-60
723,0,0,36,0,-36
724,0,0,60,0,-60
725,1,1,350,1208,858
726,1,0,8,0,-8
727,1,0,102,0,-102
728,0,0,26,0,-26
729,1,0,61,0,-61
730,0,0,46,0,-46
731,0,0,21,0,-21
732,1,0,61,0,-61
733,0,0,1,0,-1
734,1,0,11,0,-11
735,0,0,33,0,-33
736,1,1,590,1773,1183
737,0,0,5,0,-5
738,0,0,95,0,-95
739,1,1,833,3164,2331
740,1,0,149,0,-149
741,1,0,21,0,-21
742,0,0,64,0,-64
743,1,1,237,1671,1434
744,1,1,2064,1509,-555
745,1,1,490,1210,720
746,1,0,28,0,-28
747,1,0,54,0,-54
748,0,0,43,0,-43
749,1,1,600,1415,815
750,0,0,9,0,-9
751,1,1,446,1320,874
752,0,0,26,0,-26
753,1,0,14,0,-14
754,1,0,14,0,-14
755,0,0,23,0,-23
756,0,0,40,0,-40
757,1,0,13,0,-13
758,0,0,15,0,-15
759,1,1,194,2024,1830
760,1,1,17,1217,1200
761,1,1,142,1212,1070
762,0,0,189,0,-189
763,1,0,7,0,-7
764,1,1,112,1228,1116
765,1,0,1,0,-1
766,1,0,56,0,-56
767,0,0,15,0,-15
768,1,1,1006,2013,1007
769,1,0,98,0,-98
770,0,0,17,0,-17
771,0,0,2,0,-2
772,1,1,733,1294,561
773,0,0,1,0,-1
774,1,0,32,0,-32
775,1,1,910,1436,526
776,1,0,65,0,-65
777,0,0,8,0,-8
778,1,0,20,0,-20
779,0,0,31,0,-31
780,1,1,475,1652,1177
781,1,1,698,1870,1172
782,1,1,291,1544,1253
783,1,1,801,1449,648
784,1,0,15,0,-15
785,1,1,43,1517,1474
786,1,1,642,1294,652
787,1,1,1487,1903,416
788,1,1,272,1518,1246
789,1,1,22,1582,1560
790,1,1,75,1442,1367
791,0,0,42,0,-42
792,1,1,565,1346,781
793,0,0,179,0,-179
794,1,1,452,1359,907
795,0,0,30,0,-30
796,1,1,5556,1676,-3880
797,1,0,5,0,-5
798,1,1,14,2221,2207
799,1,1,401,2023,1622
800,0,0,62,0,-62
801,0,0,62,0,-62
802,1,1,678,1200,522
803,0,0,42,0,-42
804,1,0,89,0,-89
805,0,0,16,0,-16
806,0,0,13,0,-13
807,1,1,213,1262,1049
808,1,1,264,1595,1331
809,1,0,34,0,-34
810,1,0,57,0,-57
811,1,0,51,0,-51
812,1,0,2,0,-2
813,0,0,21,0,-21
814,0,0,34,0,-34
815,1,0,64,0,-64
816,0,0,91,0,-91
817,1,0,232,0,-232
818,1,0,91,0,-91
819,1,1,349,1322,973
820,1,1,1286,1206,-80
821,0,0,30,0,-30
822,0,0,74,0,-74
823,1,1,890,1401,511
824,1,1,221,1289,1068
825,0,0,118,0,-118
826,1,0,31,0,-31
827,1,0,207,0,-207
828,0,0,37,0,-37
829,0,0,320,0,-320
830,0,0,77,0,-77
831,0,0,2,0,-2
832,1,1,2657,1262,-1395
833,0,0,3,0,-3
834,0,0,11,0,-11
835,1,1,83,1270,1187
836,1,1,270,1328,1058
837,0,0,61,0,-61
838,0,0,91,0,-91
839,1,0,16,0,-16
840,0,0,9,0,-9
841,1,0,13,0,-13
842,1,1,1026,1535,509
843,1,0,11,0,-11
844,0,0,75,0,-75
845,1,0,35,0,-35
846,1,1,473,1660,1187
847,1,1,1969,1241,-728
848,0,0,63,0,-63
849,1,0,143,0,-143
850,1,1,560,1340,780
851,0,0,112,0,-112
852,1,0,25,0,-25
853,1,1,1053,1667,614
854,1,1,641,1306,665
855,0,0,295,0,-295
856,1,0,74,0,-74
857,1,0,168,0,-168
858,1,1,366,1212,846
859,1,0,58,0,-58
860,0,0,35,0,-35
861,1,1,119,1494,1375
862,0,0,20,0,-20
863,1,1,445,1313,868
864,1,0,39,0,-39
865,1,1,1924,1320,-604
866,0,0,4,0,-4
867,1,0,78,0,-78
868,0,0,1,0,-1
869,0,0,53,0,-53
870,1,0,0,0,0
871,1,1,319,1220,901
872,0,0,5,0,-5
873,1,1,1918,1262,-656
874,1,1,1125,1317,192
875,1,1,355,1267,912
876,1,0,16,0,-16
877,1,1,846,1423,577
878,1,0,9,0,-9
879,0,0,109,0,-109
880,1,1,806,1333,527
881,1,1,241,2422,2181
882,0,0,15,0,-15
883,1,1,97,1219,1122
884,0,0,19,0,-19
885,1,1,2186,1309,-877
886,0,0,26,0,-26
887,1,0,6,0,-6
888,1,0,10,0,-10
889,1,0,4,0,-4
890,1,0,8,0,-8
891,0,0,87,0,-87
892,1,0,2,0,-2
893,0,0,4,0,-4
894,0,0,151,0,-151
895,1,1,381,3217,2836
896,0,0,48,0,-48
897,1,1,1449,1441,-8
898,0,0,118,0,-118
899,0,0,34,0,-34
900,1,1,368,1256,888
901,0,0,12,0,-12
902,1,1,933,3869,2936
903,0,0,14,0,-14
904,1,0,8,0,-8
905,1,1,637,1558,921
906,0,0,90,0,-90
907,1,1,365,1262,897
908,1,0,38,0,-38
909,0,0,159,0,-159
910,1,1,610,1253,643
911,1,1,131,1644,1513
912,1,1,915,1209,294
913,0,0,20,0,-20
914,0,0,2,0,-2
915,1,0,53,0,-53
916,1,1,686,1642,956
917,0,0,44,0,-44
918,1,1,411,2676,2265
919,1,1,260,1255,995
920,1,1,1044,1278,234
921,1,1,293,1409,1116
922,1,0,5,0,-5
923,1,0,93,0,-93
924,1,1,617,1282,665
925,1,1,1071,1644,573
926,1,0,26,0,-26
927,1,0,7,0,-7
928,1,1,175,1507,1332
929,1,1,168,1346,1178
930,0,0,61,0,-61
931,0,0,4,0,-4
932,0,0,78,0,-78
933,1,1,349,1621,1272
934,1,0,70,0,-70
935,0,0,35,0,-35
936,1,0,3,0,-3
937,0,0,139,0,-139
938,0,0,45,0,-45
939,1,0,132,0,-132
940,1,0,11,0,-11
941,0,0,80,0,-80
942,1,1,1007,1685,678
943,1,1,1000,1591,591
944,1,0,34,0,-34
945,0,0,2,0,-2
946,0,0,108,0,-108
947,0,0,28,0,-28
948,0,0,11,0,-11
949,1,1,1308,4260,2952
950,0,0,82,0,-82
951,1,1,716,2567,1851
952,1,0,35,0,-35
953,1,1,136,1249,1113
954,1,1,379,2298,1919
955,1,1,284,1415,1131
956,1,0,1,0,-1
957,0,0,73,0,-73
958,0,0,18,0,-18
959,0,0,106,0,-106
960,1,0,3,0,-3
961,1,0,1,0,-1
962,1,1,62,1585,1523
963,1,0,52,0,-52
964,1,1,1405,1211,-194
965,0,0,50,0,-50
966,0,0,24,0,-24
967,1,0,49,0,-49
968,1,0,14,0,-14
969,1,0,26,0,-26
970,1,1,871,1995,1124
971,0,0,18,0,-18
972,0,0,16,0,-16
973,0,0,22,0,-22
974,1,0,1,0,-1
975,0,0,32,0,-32
976,1,0,210,0,-210
977,1,1,91,2437,2346
978,0,0,47,0,-47
979,1,0,78,0,-78
980,0,0,10,0,-10
981,1,0,55,0,-55
982,1,0,28,0,-28
983,0,0,124,0,-124
984,0,0,2,0,-2
985,1,1,983,1486,503
986,1,0,91,0,-91
987,1,1,250,1248,998
988,1,1,214,1719,1505
989,1,0,17,0,-17
990,0,0,2,0,-2
991,1,1,355,1355,1000
992,1,0,10,0,-10
993,1,1,46,1751,1705
994,0,0,20,0,-20
995,0,0,2,0,-2
996,0,0,112,0,-112
997,0,0,13,0,-13
998,1,0,161,0,-161
999,1,1,280,4000,3720
1000,1,0,42,0,-42
1001,0,0,67,0,-67
1002,1,1,247,1712,1465
1003,1,0,9,0,-9
1004,0,0,158,0,-158
1005,0,0,27,0,-27
1006,0,0,48,0,-48
1007,0,0,7,0,-7
1008,0,0,91,0,-91
1009,1,1,151,1869,1718
1010,1,1,1001,1354,353
1011,1,0,7,0,-7
1012,0,0,2,0,-2
1013,0,0,14,0,-14
1014,1,0,104,0,-104
1015,0,0,271,0,-271
1016,1,0,31,0,-31
1017,0,0,125,0,-125
1018,1,0,14,0,-14
1019,1,0,7,0,-7
1020,1,1,277,1349,1072
1021,0,0,8,0,-8
1022,1,0,6,0,-6
1023,1,1,698,2688,1990
1024,1,1,433,1408,975
1025,0,0,13,0,-13
1026,0,0,27,0,-27
1027,0,0,44,0,-44
1028,0,0,83,0,-83
1029,1,0,103,0,-103
1030,1,1,164,1255,1091
1031,1,1,604,1313,709
1032,0,0,19,0,-19
1033,1,1,835,1482,647
1034,1,1,505,1228,723
1035,1,1,1518,1207,-311
1036,0,0,14,0,-14
1037,1,0,3,0,-3
1038,1,0,3,0,-3
1039,1,1,648,1603,955
1040,1,0,31,0,-31
1041,0,0,26,0,-26
1042,1,0,23,0,-23
1043,1,1,226,1490,1264
1044,0,0,25,0,-25
1045,0,0,21,0,-21
1046,1,1,529,1511,982
1047,1,1,299,2238,1939
1048,1,0,43,0,-43
